federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
019-0522,"Emergencies in the Diplomatic and Consular Service, State",Department of State,International Affairs,Conduct of foreign affairs,119570360.74,100894263.22,7900000.00,0.00,0.00,0.00,0.00,228364623.96,45686942.27,4894263.22,182677681.69,31443792.22,228364623.96
012-3303,"Emergency Boil Weevil Loan Program Account, Farm Service Agency",Department of Agriculture,Agriculture,Farm income stabilization,0.00,0.00,96078.00,0.00,0.00,0.00,0.00,96078.00,96078.00,0.00,0.00,96078.00,96078.00
012-3316,"Emergency Conservation Program, Farm Service Agency, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,180856409.62,31648352.96,131629524.00,0.00,0.00,0.00,0.00,344134286.58,104311752.54,31648352.96,239822534.04,57067062.57,344134286.58
075-1523,"Emergency Contingency Fund for State Temporary Assistance for Needy Family Programs - Recovery Act, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,426453104.12,0.00,0.00,0.00,0.00,0.00,0.00,426453104.12,0.00,0.00,426453104.12,29548412.00,426453104.12
070-0707,"Emergency Food and Shelter, Federal Emergency Management Agency, Homeland Security",Department of Homeland Security,Income Security,Food and nutrition assistance,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.07,141405087.65,0.07
012-0171,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",Department of Agriculture,Community and Regional Development,Disaster relief and insurance,60002473.61,6092964.00,0.00,0.00,0.00,0.00,0.00,66095437.61,5382341.33,6092964.00,60713096.28,2262227.46,66095437.61
510-3851,"Emergency Fund, Chemical Safety and Hazard Investigation Board",United States Chemical Safety Board,Natural Resources and Environment,Pollution control and abatement,844145.00,0.00,0.00,0.00,0.00,0.00,0.00,844145.00,0.00,0.00,844145.00,0.00,844145.00
424-0311,"Emergency Fund, National Transportation Safety Board",National Transportation Safety Board,Transportation,Other transportation,1997884.00,0.00,0.00,0.00,0.00,0.00,0.00,1997884.00,0.00,0.00,1997884.00,0.00,1997884.00
089-5069,"Emergency Fund, Western Area Power Administration, Power Marketing Administration, Energy",Department of Energy,Energy,Energy supply,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,500000.00,0.00,0.00,500000.00,0.00,500000.00
086-0407,"Emergency Homeowner's Relief Fund, Housing Programs, Housing and Urban Development",Department of Housing and Urban Development,Commerce and Housing Credit,Mortgage credit,328245781.13,1185200.41,0.00,0.00,0.00,0.00,0.00,329430981.54,0.00,1185200.41,329430981.54,0.00,329430981.54
070-0718,"Emergency Management Performance Grants, Federal Emergency Management Agency, Homeland Security",Department of Homeland Security,Community and Regional Development,Disaster relief and insurance,15088934.98,7941249.48,0.00,0.00,0.00,0.00,0.00,23030184.46,6496547.99,13305239.88,16533636.47,327126069.06,23030184.46
089-0234,"Emergency Preparedness, Energy",Department of Energy,Energy,Emergency energy preparedness,94036.96,-51036.96,-43000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
069-5282,"Emergency Preparedness Grants, Pipeline and Hazardous Materials Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,114270.72,2441776.65,26069192.36,0.00,0.00,0.00,0.00,28625239.73,28534320.73,2449413.21,90919.00,23432469.28,28625239.73
069-0500,"Emergency Relief Program, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,374241311.73,138392554.14,1498871624.00,0.00,0.00,0.00,0.00,2011505489.87,801467930.84,138373618.82,1210037559.03,508073883.74,2011505489.87
097-4965,"Emergency Response Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,11462230.88,0.00,0.00,0.00,0.00,0.00,0.00,11462230.88,0.00,0.00,11462230.88,0.00,11462230.88
075-0949,"Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,Health,Health care services,6840522.14,7156047.48,583685047.00,0.00,0.00,0.00,0.00,597681616.62,588027489.73,11482104.24,9654126.89,527247330.39,597681616.62
024-8440,"Employees' Health Benefits Fund, Office of Personnel Management",Office of Personnel Management,Health,Health care services,21277517706.96,0.00,0.00,0.00,0.00,52918812889.68,52918812889.68,74196330596.64,50861728740.99,0.00,23334601855.65,50609552512.51,74196330596.64
024-8424,"Employees' Life Insurance Fund, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,44167870614.61,0.00,0.00,0.00,0.00,3580849304.57,3580849304.57,47748719919.18,3065134832.82,0.00,44683585086.36,3053151808.23,47748719919.18
075-0954,"Employees Occupational Illness Compensation Program, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,Health,Health care services,2347225.28,622040.61,50106825.00,0.00,0.00,0.00,0.00,53076090.89,51340203.35,622040.61,1735887.54,53184666.45,53076090.89
086-0315,"Empowerment Zones/Enterprise Communities, Community Planning and Development, Housing and Urban Development",Department of Housing and Urban Development,Community and Regional Development,Community development,118000.00,0.00,0.00,0.00,0.00,0.00,0.00,118000.00,0.00,0.00,118000.00,0.00,118000.00
080-8550,"Endeavor Teacher Fellowship Trust Fund, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"Education, Training, Employment, and Social Services",Research and general education aids,44816.44,-1967.04,0.00,0.00,0.00,0.00,0.00,42849.40,0.00,0.00,42849.40,0.00,42849.40
012-2073,"Energy Assistance Payments, Rural Business - Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,11208278.84,3114049.76,13965000.00,0.00,0.00,0.00,0.00,28287328.60,13847642.77,3114049.76,14439685.83,13790617.89,28287328.60
089-0215,"Energy Conservation, Energy",Department of Energy,Energy,Energy conservation,12.11,0.00,0.00,0.00,0.00,0.00,0.00,12.11,0.00,0.00,12.11,12.10,12.11
089-0321,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",Department of Energy,Energy,Energy conservation,776239405.44,78795721.62,1990882511.00,0.00,0.00,124854317.97,124854317.97,2970771956.03,2393117566.63,124444473.11,577654389.40,1925354578.99,2970771956.03
016-1523,"Energy Employees Occupational Illness Compensation Fund, Labor",,National Defense,Atomic energy defense activities,0.00,0.00,1243170926.26,0.00,0.00,1147720.78,1147720.78,1244318647.04,1244318647.04,0.00,0.00,1245989268.82,1244318647.04
089-0216,"Energy Information Administration, Energy",Department of Energy,Energy,"Energy information, policy, and regulation",4367273.04,175745.78,122000000.00,0.00,0.00,0.00,0.00,126543018.82,125850035.18,177033.49,692983.64,120733272.89,126543018.82
086-0401,"Energy Innovation Fund, Housing Programs, Housing and Urban Development",Department of Housing and Urban Development,Energy,Energy conservation,18883838.22,0.00,0.00,0.00,0.00,0.00,0.00,18883838.22,0.00,0.00,18883838.22,0.00,18883838.22
068-0109,"Energy Research and Development, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,5259.72,24.57,0.00,0.00,0.00,0.00,0.00,5284.29,0.00,24.57,5284.29,-24.57,5284.29
089-5615,Energy Security and Infrastructure Modernization Fund,Department of Energy,Energy,Emergency energy preparedness,0.00,0.00,323195826.82,0.00,0.00,0.00,0.00,323195826.82,164615246.32,0.00,158580580.50,1877629.26,323195826.82
089-0224,"Energy Supply, Energy",Department of Energy,Energy,Energy supply,7209907.43,-1346274.92,0.00,0.00,0.00,-4158.66,-4158.66,5859473.85,12391.14,4973.59,5847082.71,-15526.41,5859473.85
070-4363,"Enhanced Inspectional Services, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,0.00,252.81,0.00,0.00,0.00,18867992.17,18867992.17,18868244.98,18868244.98,252.81,0.00,17669350.39,18868244.98
073-0400,"Entrepreneurial Development Programs, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,14396387.87,9010846.58,245100000.00,0.00,0.00,0.00,0.00,268507234.45,226568912.20,9010846.58,41938322.25,213972731.82,268507234.45
070-0611,"Environmental Compliance and Restoration, Coast Guard, Homeland Security",Department of Homeland Security,Natural Resources and Environment,Pollution control and abatement,20052431.61,139699.50,13315000.00,0.00,0.00,-346574.45,-346574.45,33160556.66,11748686.85,139699.50,21411869.81,14909096.06,33160556.66
487-0925,"Environmental Dispute Resolution Fund, Morris K. Udall and Stewart L. Udall Foundation",Morris K. Udall and Stewart L. Udall Foundation,Natural Resources and Environment,Other natural resources,5943304.76,564459.06,3249000.00,0.00,0.00,3257500.00,3257500.00,13014263.82,4805632.73,558855.06,8208631.09,5030801.26,13014263.82
075-0947,"Environmental Health, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,Health,Health care services,5888325.89,1093183.10,215362657.00,0.00,0.00,0.00,0.00,222344165.99,189947858.45,2587432.72,32396307.54,179762995.01,222344165.99
013-5362,"Environmental Improvement and Restoration Fund, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Natural Resources and Environment,Conservation and land management,1.34,0.00,15049026.09,0.00,0.00,0.00,0.00,15049027.43,6827230.00,0.00,8221797.43,8467046.00,15049027.43
014-5425,"Environmental Improvement and Restoration Fund, Office of Natural Resources Revenue, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
068-0108,"Environmental Programs and Management, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,307949241.16,75794435.78,2600999000.00,0.00,0.00,78898695.31,78898695.31,3063641372.25,2761149354.83,81516398.19,302492017.42,2671940225.42,3063641372.25
057-0810,"Environmental Restoration, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,0.00,0.00,0.00,0.00,0.00,300000.00,300000.00,300000.00,0.00,0.00,300000.00,0.00,300000.00
021-0810,"Environmental Restoration, Army",Department of the Army,National Defense,Department of Defense-Military,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
097-0810,"Environmental Restoration, Defense",Department of Defense,National Defense,Department of Defense-Military,605349.00,-605349.00,1253000.00,0.00,0.00,0.00,0.00,1253000.00,0.00,0.00,1253000.00,0.00,1253000.00
097-0811,"Environmental Restoration, Formerly Used Defense Sites, Defense",Department of Defense,National Defense,Department of Defense-Military,21000000.62,-21000000.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.62,0.00,0.62
017-0810,"Environmental Restoration, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.00,42597.16,0.00,0.00,0.00,0.00,0.00,42597.16,0.00,42597.16,42597.16,471.83,42597.16
069-8632,"Equipment, Supplies, Etc., for Cooperating Countries, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,6708.74,0.00,0.00,0.00,0.00,0.00,0.00,6708.74,0.00,0.00,6708.74,0.00,6708.74
069-5423,"Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",Department of Transportation,Transportation,Air transportation,65224122.27,26406990.39,121801213.10,0.00,0.00,0.00,0.00,213432325.76,135549239.18,26406990.39,77883086.58,121674460.58,213432325.76
020-8902,"Esther Cattell Schmitt Gift Fund, Bureau of the Fiscal Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,424758.15,0.00,2773.18,0.00,0.00,0.00,0.00,427531.33,12000.00,0.00,415531.33,12000.00,427531.33
020-4444,"Exchange Stabilization Fund, Office of the Secretary, Treasury",Department of the Treasury,International Affairs,International financial programs,39774029028.84,258008235.99,0.00,0.00,0.00,128276844.85,128276844.85,40160314109.68,659363602.28,0.00,39500950507.40,0.00,40160314109.68
086-0332,"Executive Offices, Management and Administration, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,1654802.75,361754.60,13600000.00,0.00,0.00,5745.43,5745.43,15622302.78,13341627.94,506754.60,2280674.84,12874326.09,15622302.78
014-5494,"Exotic Bird Conservation Fund, U.S. Fish and Wildlife Service",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,1000.00
012-8015,"Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,62049078.06,4124774.55,157754773.03,0.00,0.00,0.00,0.00,223928625.64,164503638.64,4124774.55,59424987.00,168607016.47,223928625.64
012-8137,"Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,13593490.79,5202.83,14193051.25,0.00,0.00,0.00,0.00,27791744.87,26244081.50,5202.83,1547663.37,26256273.85,27791744.87
012-5206,"Expenses, Brush Disposal, Forest Service,  Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,45722864.18,-24832333.30,8211420.52,0.00,0.00,0.00,0.00,29101951.40,21455041.64,167666.70,7646909.76,19446017.29,29101951.40
